492439	2	28	Prism & Gray Pink (6 Suits)	2021-04-06 — 20:52:02 UTC	scharkbite, Valetta6789	5	6	30
492230	4	0	Up or Down & Prism (6 Suits)	2021-04-06 — 17:18:31 UTC	dobi, rz, scharkbite, sephiroth	2	6	30
492227	4	0	Up or Down & Prism (6 Suits)	2021-04-06 — 17:17:22 UTC	dobi, rz, scharkbite, sephiroth	2	6	30
492222	3	0	Dark Prism Reversed (5 Suits)	2021-04-06 — 17:04:05 UTC	rz, scharkbite, sephiroth	1	5	25
490966	4	30	Dual-Color & Dark Pink (6 Suits)	2021-04-05 — 05:31:53 UTC	derekcheah, Lel0uch, melwen, scharkbite	2	6	30
490948	4	29	Dual-Color & Gray (6 Suits)	2021-04-05 — 05:04:36 UTC	derekcheah, Lel0uch, melwen, scharkbite	1	6	30
490937	4	28	Dual-Color & Gray (6 Suits)	2021-04-05 — 04:44:49 UTC	derekcheah, Lel0uch, melwen, scharkbite	1	6	30
490926	3	0	Dual-Color & Gray (6 Suits)	2021-04-05 — 04:28:39 UTC	derekcheah, melwen, scharkbite	1	6	30
489082	4	21	Dark Rainbow (5 Suits)	2021-04-03 — 04:07:14 UTC	bob65536, rz, scharkbite, timotree	2	5	25
489052	4	24	Dark Rainbow (5 Suits)	2021-04-03 — 03:42:15 UTC	bob65536, rz, scharkbite, timotree	2	5	25
489012	4	0	Dark Rainbow (5 Suits)	2021-04-03 — 03:15:38 UTC	bob65536, HelanaAshryvr, scharkbite, timotree	5	5	25
488989	4	21	Dark Rainbow (5 Suits)	2021-04-03 — 02:52:56 UTC	bob65536, HelanaAshryvr, scharkbite, timotree	7	5	25
485241	4	0	Up or Down & Light Pink (5 Suits)	2021-03-30 — 05:37:44 UTC	DarkenedOrigins, dobi, newduke, scharkbite	9	5	25
485235	4	0	Up or Down & Light Pink (5 Suits)	2021-03-30 — 05:16:48 UTC	derekcheah, dobi, newduke, scharkbite	2	5	25
485233	4	0	Up or Down & Light Pink (5 Suits)	2021-03-30 — 05:14:26 UTC	derekcheah, dobi, newduke, scharkbite	3	5	25
485228	4	20	Light Pink (4 Suits)	2021-03-30 — 05:01:19 UTC	Aluap, derekcheah, newduke, scharkbite	3	4	20
485218	4	0	Light Pink (4 Suits)	2021-03-30 — 04:43:01 UTC	Aluap, derekcheah, newduke, scharkbite	8	4	20
485201	4	19	Light Pink (4 Suits)	2021-03-30 — 04:26:48 UTC	Aluap, derekcheah, newduke, scharkbite	11	4	20
485093	2	30	Pink & Prism (6 Suits)	2021-03-30 — 02:40:58 UTC	scharkbite, StKildaFan	6	6	30
485081	2	0	Pink & Prism (6 Suits)	2021-03-30 — 02:32:34 UTC	scharkbite, StKildaFan	9	6	30
485078	2	29	Pink & Prism (6 Suits)	2021-03-30 — 02:26:22 UTC	scharkbite, StKildaFan	16	6	30
485063	2	0	Pink & Prism (6 Suits)	2021-03-30 — 02:17:02 UTC	scharkbite, StKildaFan	18	6	30
485046	2	25	Pink & Prism (5 Suits)	2021-03-30 — 02:03:58 UTC	scharkbite, StKildaFan	1	5	25
485030	2	24	Pink & Prism (5 Suits)	2021-03-30 — 01:49:46 UTC	scharkbite, StKildaFan	1	5	25
485012	2	0	Pink & Prism (5 Suits)	2021-03-30 — 01:38:19 UTC	scharkbite, StKildaFan	1	5	25
484486	3	30	Up or Down & Omni (6 Suits)	2021-03-29 — 17:24:37 UTC	Kyle, scharkbite, sephiroth	1	6	30
483082	4	27	White & Dark Omni (6 Suits)	2021-03-28 — 04:32:57 UTC	Bonja97, Lel0uch, melwen, scharkbite	1	6	30
483052	4	28	White & Dark Omni (6 Suits)	2021-03-28 — 03:57:33 UTC	Bonja97, Lel0uch, melwen, scharkbite	2	6	30
483028	4	0	White & Dark Omni (6 Suits)	2021-03-28 — 03:29:50 UTC	Bonja97, Lel0uch, melwen, scharkbite	2	6	30
483011	4	28	White & Dark Omni (6 Suits)	2021-03-28 — 03:08:46 UTC	Bonja97, Lel0uch, melwen, scharkbite	2	6	30
482985	4	0	White & Dark Omni (6 Suits)	2021-03-28 — 02:50:08 UTC	Bonja97, Lel0uch, melwen, scharkbite	2	6	30
482931	5	0	White & Dark Omni (6 Suits)	2021-03-28 — 02:30:05 UTC	Bonja97, Lel0uch, melwen, qqqq, scharkbite	1	6	30
482876	4	27	White & Dark Omni (6 Suits)	2021-03-28 — 02:02:19 UTC	Bonja97, Lel0uch, melwen, scharkbite	2	6	30
482840	4	0	White & Dark Omni (6 Suits)	2021-03-28 — 01:28:31 UTC	hakha3, Lel0uch, melwen, scharkbite	4	6	30
482821	3	28	Brown & Dark Omni (6 Suits)	2021-03-28 — 01:02:41 UTC	hakha3, melwen, scharkbite	1	6	30
482810	3	0	Brown & Dark Omni (6 Suits)	2021-03-28 — 00:38:12 UTC	hakha3, melwen, scharkbite	2	6	30
482796	2	0	Null-Fives & Dark Null (6 Suits)	2021-03-28 — 00:00:41 UTC	scharkbite, Valetta6789	1	6	30
482778	2	0	Null-Fives & Dark Null (6 Suits)	2021-03-27 — 23:38:09 UTC	scharkbite, Valetta6789	2	6	30
482382	3	20	Omni & Prism (4 Suits)	2021-03-27 — 17:18:50 UTC	scharkbite, sephiroth, Wittvector	1	4	20
482369	3	0	Omni & Prism (4 Suits)	2021-03-27 — 16:56:54 UTC	scharkbite, sephiroth, Wittvector	1	4	20
482043	3	0	Clue Starved & Pink (5 Suits)	2021-03-27 — 04:33:14 UTC	dobi, Lel0uch, scharkbite	6	5	25
482026	4	30	Gray & Cocoa Rainbow (6 Suits)	2021-03-27 — 04:19:15 UTC	dobi, Lanvin, melwen, scharkbite	2	6	30
482004	4	28	Gray & Cocoa Rainbow (6 Suits)	2021-03-27 — 03:51:15 UTC	dobi, Lanvin, melwen, scharkbite	2	6	30
481967	4	30	Rainbow-Fives & Prism (6 Suits)	2021-03-27 — 03:28:41 UTC	dobi, Lanvin, melwen, scharkbite	3	6	30
481939	3	25	Rainbow & Omni (5 Suits)	2021-03-27 — 03:10:53 UTC	dobi, Lanvin, scharkbite	4	5	25
480917	5	29	Up or Down & Muddy Rainbow (6 Suits)	2021-03-26 — 04:10:11 UTC	bjnh, derekcheah, Lel0uch, melwen, scharkbite	2	6	30
480888	4	25	Brown & Dark Omni (5 Suits)	2021-03-26 — 03:44:29 UTC	derekcheah, Lel0uch, melwen, scharkbite	1	5	25
480873	4	0	Brown & Dark Omni (5 Suits)	2021-03-26 — 03:28:30 UTC	derekcheah, Lel0uch, melwen, scharkbite	1	5	25
480860	4	30	Up or Down & Muddy Rainbow (6 Suits)	2021-03-26 — 03:16:37 UTC	derekcheah, Lel0uch, melwen, scharkbite	2	6	30
