519075	2	27	White & Dark Prism (6 Suits)	2021-05-03 — 01:30:06 UTC	aquarelle, HelanaAshryvr	6	6	30
519065	2	0	White & Dark Prism (6 Suits)	2021-05-03 — 01:12:47 UTC	aquarelle, HelanaAshryvr	6	6	30
519034	3	24	Up or Down & Prism (5 Suits)	2021-05-03 — 00:16:01 UTC	aquarelle, corys, xor	9	5	25
519001	3	0	Up or Down & Prism (5 Suits)	2021-05-03 — 00:02:01 UTC	aquarelle, corys, xor	10	5	25
518681	4	25	Brown-Ones & Pink (5 Suits)	2021-05-02 — 16:22:44 UTC	Aluap, aquarelle, methmatics, sin_faith	3	5	25
518661	3	0	Omni-Ones & Muddy Rainbow (6 Suits)	2021-05-02 — 15:57:11 UTC	Aluap, aquarelle, sin_faith	1	6	30
518657	3	0	Omni-Ones & Muddy Rainbow (6 Suits)	2021-05-02 — 15:52:02 UTC	Aluap, aquarelle, sin_faith	1	6	30
518376	6	25	Black (5 Suits)	2021-05-02 — 03:55:34 UTC	antitelharsic, aquarelle, HelanaAshryvr, Lanvin, melwen, squirrel1988	1	5	25
518237	5	30	Rainbow & Light Pink (6 Suits)	2021-05-02 — 02:04:32 UTC	antitelharsic, aquarelle, HelanaAshryvr, Lanvin, melwen	1	6	30
518204	5	0	White-Ones & Black (6 Suits)	2021-05-02 — 01:29:48 UTC	Aluap, antitelharsic, aquarelle, HelanaAshryvr, Lanvin	1	6	30
518183	5	0	White-Ones & Black (6 Suits)	2021-05-02 — 01:07:19 UTC	Aluap, antitelharsic, aquarelle, HelanaAshryvr, Lanvin	1	6	30
517268	3	15	White (3 Suits)	2021-05-01 — 00:00:12 UTC	aquarelle, jack67889, wump	49	3	15
517244	2	29	Omni (6 Suits)	2021-04-30 — 23:36:24 UTC	aquarelle, jack67889	124	6	30
516479	3	27	Black & Dark Pink (6 Suits)	2021-04-30 — 04:03:03 UTC	antitelharsic, aquarelle, HelanaAshryvr	5	6	30
516456	3	0	Black & Dark Pink (6 Suits)	2021-04-30 — 03:42:04 UTC	antitelharsic, aquarelle, HelanaAshryvr	5	6	30
516445	3	0	Black & Dark Pink (6 Suits)	2021-04-30 — 03:34:08 UTC	antitelharsic, aquarelle, HelanaAshryvr	6	6	30
516438	3	0	Black & Dark Pink (6 Suits)	2021-04-30 — 03:28:21 UTC	antitelharsic, aquarelle, HelanaAshryvr	7	6	30
516407	2	0	White & Omni (6 Suits)	2021-04-30 — 03:00:43 UTC	aquarelle, HelanaAshryvr	9	6	30
516397	2	0	White & Omni (6 Suits)	2021-04-30 — 02:54:39 UTC	aquarelle, HelanaAshryvr	13	6	30
516205	4	0	Rainbow (6 Suits)	2021-04-29 — 22:51:57 UTC	aquarelle, nkkarpov, tacobot5000, wump	12	6	30
516190	6	25	White-Ones & Rainbow (5 Suits)	2021-04-29 — 22:19:40 UTC	aquarelle, bob65536, dobi, kevincaseytdk1, Lanvin, MangoPie	1	5	25
515828	2	20	Brown (4 Suits)	2021-04-29 — 17:08:03 UTC	aquarelle, PotatoLatte	55	4	20
515813	2	25	Up or Down & Rainbow (5 Suits)	2021-04-29 — 16:55:55 UTC	aquarelle, HelanaAshryvr	10	5	25
515805	2	0	Up or Down & Rainbow (5 Suits)	2021-04-29 — 16:48:36 UTC	aquarelle, HelanaAshryvr	15	5	25
515804	2	24	Up or Down & Rainbow (5 Suits)	2021-04-29 — 16:41:33 UTC	aquarelle, HelanaAshryvr	17	5	25
515799	2	0	Up or Down & Rainbow (5 Suits)	2021-04-29 — 16:32:52 UTC	aquarelle, HelanaAshryvr	23	5	25
515793	2	0	Up or Down & Rainbow (5 Suits)	2021-04-29 — 16:23:12 UTC	aquarelle, HelanaAshryvr	31	5	25
515539	4	25	Dark Prism (5 Suits)	2021-04-29 — 04:27:06 UTC	aquarelle, cockdestroyer, HelanaAshryvr, kevincaseytdk1	10	5	25
515528	4	0	Dark Prism (5 Suits)	2021-04-29 — 04:09:08 UTC	aquarelle, cockdestroyer, HelanaAshryvr, kevincaseytdk1	18	5	25
515516	2	29	Up or Down & Prism (6 Suits)	2021-04-29 — 03:55:51 UTC	aquarelle, HelanaAshryvr	13	6	30
515511	2	0	Up or Down & Prism (6 Suits)	2021-04-29 — 03:47:36 UTC	aquarelle, HelanaAshryvr	13	6	30
515501	2	25	Pink-Fives & Gray (5 Suits)	2021-04-29 — 03:41:10 UTC	aquarelle, HelanaAshryvr	2	5	25
515481	3	0	Black & Dark Pink (6 Suits)	2021-04-29 — 03:22:33 UTC	antitelharsic, aquarelle, HelanaAshryvr	7	6	30
515465	3	0	Black & Dark Pink (6 Suits)	2021-04-29 — 03:07:56 UTC	antitelharsic, aquarelle, HelanaAshryvr	12	6	30
515456	3	28	Black & Dark Pink (6 Suits)	2021-04-29 — 02:59:04 UTC	antitelharsic, aquarelle, HelanaAshryvr	14	6	30
515435	4	28	Black & Dark Pink (6 Suits)	2021-04-29 — 02:26:23 UTC	antitelharsic, aquarelle, HelanaAshryvr, kevincaseytdk1	5	6	30
515416	4	0	Throw It in a Hole & Null (5 Suits)	2021-04-29 — 01:59:30 UTC	antitelharsic, aquarelle, HelanaAshryvr, kevincaseytdk1	1	5	25
515395	2	24	White & Omni (5 Suits)	2021-04-29 — 01:27:01 UTC	aquarelle, HelanaAshryvr	11	5	25
515388	2	0	White & Omni (5 Suits)	2021-04-29 — 01:17:13 UTC	aquarelle, HelanaAshryvr	12	5	25
515331	4	20	Brown & Prism (4 Suits)	2021-04-28 — 23:37:32 UTC	aquarelle, Lanvin, melwen, wump	2	4	20
515307	3	30	Rainbow & Brown (6 Suits)	2021-04-28 — 23:05:36 UTC	aquarelle, kevincaseytdk1, Lanvin	5	6	30
515205	2	25	Up or Down & Prism (5 Suits)	2021-04-28 — 21:06:37 UTC	aquarelle, jack67889	19	5	25
514537	4	0	Dark Brown (5 Suits)	2021-04-28 — 03:22:51 UTC	aquarelle, cockdestroyer, HelanaAshryvr, kinkajusrevenge	15	5	25
514523	4	0	Dark Brown (5 Suits)	2021-04-28 — 03:04:07 UTC	aquarelle, cockdestroyer, HelanaAshryvr, kinkajusrevenge	18	5	25
514503	2	0	Pink & White (4 Suits)	2021-04-28 — 02:44:11 UTC	aquarelle, cockdestroyer	22	4	20
513625	3	30	Ambiguous (6 Suits)	2021-04-27 — 02:41:07 UTC	Animex52, aquarelle, HelanaAshryvr	16	6	30
513600	3	0	Ambiguous (6 Suits)	2021-04-27 — 02:17:13 UTC	Animex52, aquarelle, HelanaAshryvr	23	6	30
513595	3	0	Ambiguous (6 Suits)	2021-04-27 — 02:10:18 UTC	Animex52, aquarelle, HelanaAshryvr	29	6	30
513589	3	0	Ambiguous (6 Suits)	2021-04-27 — 02:02:49 UTC	Animex52, aquarelle, HelanaAshryvr	43	6	30
513581	3	0	Ambiguous (6 Suits)	2021-04-27 — 01:51:04 UTC	Animex52, aquarelle, HelanaAshryvr	71	6	30
513498	2	30	Pink (6 Suits)	2021-04-26 — 22:54:19 UTC	aquarelle, wump	146	6	30
513475	3	15	Brown (3 Suits)	2021-04-26 — 21:57:40 UTC	aquarelle, cockdestroyer, HelanaAshryvr	4	3	15
513472	3	0	Brown (3 Suits)	2021-04-26 — 21:49:59 UTC	aquarelle, cockdestroyer, HelanaAshryvr	4	3	15
512742	4	30	Null (6 Suits)	2021-04-26 — 01:13:08 UTC	aquarelle, HelanaAshryvr, Lanvin, rz	5	6	30
512724	5	0	Dark Pink (6 Suits)	2021-04-26 — 00:34:22 UTC	aquarelle, HelanaAshryvr, Lanvin, rz, voss	5	6	30
512229	2	25	Reversed (5 Suits)	2021-04-25 — 14:20:56 UTC	aquarelle, Lanvin	5	5	25
512227	2	0	Reversed (5 Suits)	2021-04-25 — 14:16:19 UTC	aquarelle, Lanvin	6	5	25
512223	2	24	Reversed (5 Suits)	2021-04-25 — 14:09:44 UTC	aquarelle, Lanvin	8	5	25
512217	2	0	Reversed (5 Suits)	2021-04-25 — 14:00:41 UTC	aquarelle, Lanvin	9	5	25
512216	2	22	Reversed (5 Suits)	2021-04-25 — 13:58:34 UTC	aquarelle, Lanvin	10	5	25
512214	2	0	Reversed (5 Suits)	2021-04-25 — 13:50:05 UTC	aquarelle, Lanvin	12	5	25
