517642	3	0	Black & Rainbow (6 Suits)	2021-05-01 — 09:03:18 UTC	Aluap, antitelharsic, bjnh	44	6	30
517633	4	22	Dark Prism (5 Suits)	2021-05-01 — 08:30:15 UTC	Aluap, Animex52, antitelharsic, squirrel1988	1	5	25
517629	4	0	Dark Prism (5 Suits)	2021-05-01 — 08:10:25 UTC	Aluap, Animex52, antitelharsic, squirrel1988	2	5	25
517627	4	0	Dark Prism (5 Suits)	2021-05-01 — 07:54:58 UTC	Aluap, Animex52, antitelharsic, squirrel1988	2	5	25
517623	4	0	Dark Prism (5 Suits)	2021-05-01 — 07:44:24 UTC	Aluap, Animex52, antitelharsic, squirrel1988	3	5	25
517603	3	20	Deceptive-Fives (4 Suits)	2021-05-01 — 07:00:34 UTC	Aluap, corys, xor	1	4	20
517588	3	19	Deceptive-Fives (4 Suits)	2021-05-01 — 06:31:40 UTC	Aluap, corys, xor	4	4	20
517430	2	15	Omni (3 Suits)	2021-05-01 — 02:20:25 UTC	Aluap, VBVBVBVB	30	3	15
517407	2	0	Omni (3 Suits)	2021-05-01 — 02:05:31 UTC	Aluap, VBVBVBVB	37	3	15
517400	2	0	Omni (3 Suits)	2021-05-01 — 02:00:20 UTC	Aluap, VBVBVBVB	52	3	15
517387	2	13	Omni (3 Suits)	2021-05-01 — 01:50:04 UTC	Aluap, VBVBVBVB	70	3	15
516953	5	25	White-Ones & Brown (5 Suits)	2021-04-30 — 18:55:09 UTC	Aluap, ChristopheAF, Lanvin, MangoPie, VerySloppyTwo	3	5	25
516937	5	23	White-Ones & Brown (5 Suits)	2021-04-30 — 18:33:49 UTC	Aluap, ChristopheAF, Lanvin, MangoPie, VerySloppyTwo	3	5	25
516919	4	0	Black & Brown (6 Suits)	2021-04-30 — 18:17:41 UTC	Aluap, ChristopheAF, MangoPie, VerySloppyTwo	13	6	30
516917	4	0	Black & Brown (6 Suits)	2021-04-30 — 18:15:52 UTC	Aluap, ChristopheAF, MangoPie, VerySloppyTwo	13	6	30
516557	5	25	No Variant	2021-04-30 — 05:55:24 UTC	Aluap, bjnh, mestrepoke, newduke, nkkarpov	667	5	25
516526	5	0	Black (5 Suits)	2021-04-30 — 05:21:39 UTC	Aluap, bjnh, mestrepoke, newduke, nkkarpov	18	5	25
516515	5	22	Black (5 Suits)	2021-04-30 — 05:01:25 UTC	Aluap, Bot-Fiora, cockdestroyer, griff77, rahsosprout	5	5	25
516501	5	0	Rainbow & White (6 Suits)	2021-04-30 — 04:36:01 UTC	Aluap, Bot-Fiora, griff77, mestrepoke, rahsosprout	7	6	30
515530	3	20	Dual-Color & Omni (4 Suits)	2021-04-29 — 04:10:43 UTC	Aluap, dobi, newduke	1	4	20
515502	3	13	Dual-Color (3 Suits)	2021-04-29 — 03:41:26 UTC	Aluap, bjnh, newduke	11	3	15
515472	5	27	Black (6 Suits)	2021-04-29 — 03:12:48 UTC	Aluap, bjnh, Fafrd, tacobot5000, wolfpack	74	6	30
515440	4	28	Black (6 Suits)	2021-04-29 — 02:34:20 UTC	Aluap, Jake_Stiles, tacobot5000, wolfpack	69	6	30
515423	4	0	Black (6 Suits)	2021-04-29 — 02:07:23 UTC	Aluap, Jake_Stiles, tacobot5000, wolfpack	123	6	30
515129	3	19	Rainbow & Brown (4 Suits)	2021-04-28 — 19:50:18 UTC	Aluap, MangoPie, MarkusKahlsen	6	4	20
515097	3	0	Rainbow & Brown (4 Suits)	2021-04-28 — 19:32:32 UTC	Aluap, MangoPie, MarkusKahlsen	15	4	20
515006	3	25	Brown (5 Suits)	2021-04-28 — 18:05:28 UTC	Aluap, kevincaseytdk1, torp	41	5	25
514840	5	0	Brown & Light Pink (6 Suits)	2021-04-28 — 14:33:18 UTC	Aluap, jeff10, Lel0uch, melwen, Wittvector	1	6	30
514767	2	25	Brown (5 Suits)	2021-04-28 — 10:00:00 UTC	Aluap, Wittvector	60	5	25
514753	4	23	No Variant	2021-04-28 — 08:44:54 UTC	Aluap, antipodeFabric, indego, macanek	112	5	25
514490	4	28	Dual-Color & White (6 Suits)	2021-04-28 — 02:37:00 UTC	Aluap, kinkajusrevenge, voss, wump	4	6	30
514351	3	0	No Variant	2021-04-27 — 23:56:33 UTC	Aluap, chinichile, nirva4821	218	5	25
513096	2	0	Duck (5 Suits)	2021-04-26 — 14:45:04 UTC	Aluap, Animex52	17	5	25
513078	2	0	Duck (5 Suits)	2021-04-26 — 14:09:32 UTC	Aluap, Animex52	18	5	25
