461429	3	25	No Variant	2021-03-08 — 15:45:17 UTC	eliclax, padi, sjdrodge	13	5	25
461421	3	0	No Variant	2021-03-08 — 15:33:00 UTC	eliclax, padi, sjdrodge	13	5	25
459709	6	0	Ambiguous & Brown (5 Suits)	2021-03-07 — 03:01:45 UTC	BraydonM, griff77, louietyj, newduke, padi, possum	1	5	25
459657	5	20	Muddy-Rainbow-Ones (4 Suits)	2021-03-07 — 02:02:57 UTC	BraydonM, louietyj, newduke, padi, qqqq	1	4	20
459646	5	0	Muddy-Rainbow-Ones (4 Suits)	2021-03-07 — 01:42:58 UTC	BraydonM, louietyj, newduke, padi, qqqq	1	4	20
459632	5	0	Muddy-Rainbow-Ones (4 Suits)	2021-03-07 — 01:32:36 UTC	BraydonM, louietyj, newduke, padi, qqqq	1	4	20
453748	4	22	Special Mix (5 Suits)	2021-03-02 — 02:38:36 UTC	ChristopheAF, jeff10, padi, scharkbite	4	5	25
453734	4	0	Special Mix (5 Suits)	2021-03-02 — 02:20:46 UTC	ChristopheAF, jeff10, padi, scharkbite	4	5	25
451710	4	23	Brown (5 Suits)	2021-02-28 — 05:42:26 UTC	4head, bjnh, padi, torp	9	5	25
451675	3	24	Pink & Prism (5 Suits)	2021-02-28 — 05:10:06 UTC	4head, padi, torp	11	5	25
451634	4	0	Pink & Prism (5 Suits)	2021-02-28 — 04:41:33 UTC	4head, padi, robense, torp	4	5	25
451604	4	0	Pink & Prism (5 Suits)	2021-02-28 — 04:23:45 UTC	4head, padi, robense, torp	5	5	25
449993	4	0	Rainbow-Ones & White (3 Suits)	2021-02-26 — 18:56:28 UTC	Kernel, MangoPie, newduke, padi	2	3	15
439705	5	16	Prism (4 Suits)	2021-02-17 — 04:31:49 UTC	griff77, kopen, padi, poofart123, Stormylu	3	4	20
439669	5	0	Prism (4 Suits)	2021-02-17 — 04:03:14 UTC	griff77, kopen, padi, poofart123, Stormylu	6	4	20
439650	6	0	Prism (5 Suits)	2021-02-17 — 03:38:15 UTC	4head, Bot-Fiora, griff77, ksfortson, nwajfromoz, padi	2	5	25
439476	5	20	No Variant	2021-02-16 — 22:51:02 UTC	Denchulitas, HumbleDumble, padi, sephiroth, TimeHoodie	14	5	25
439441	6	23	No Variant	2021-02-16 — 22:15:54 UTC	4head, Denchulitas, HumbleDumble, padi, sephiroth, torp	2	5	25
439410	6	0	No Variant	2021-02-16 — 21:51:04 UTC	4head, Denchulitas, HumbleDumble, padi, sephiroth, torp	2	5	25
439364	6	23	No Variant	2021-02-16 — 21:13:13 UTC	4head, Denchulitas, HumbleDumble, padi, sephiroth, VerySloppyTwo	5	5	25
437673	3	30	Rainbow (6 Suits)	2021-02-15 — 02:28:40 UTC	kinkajusrevenge, mestrepoke, padi	75	6	30
437576	4	0	Prism (6 Suits)	2021-02-15 — 00:35:20 UTC	Denchulitas, nkkarpov, padi, sephiroth	22	6	30
436181	3	0	Rainbow & Muddy Rainbow (6 Suits)	2021-02-14 — 00:38:59 UTC	asaelr, padi, ricardodd	2	6	30
436168	3	0	Rainbow & Muddy Rainbow (6 Suits)	2021-02-14 — 00:25:06 UTC	asaelr, padi, ricardodd	4	6	30
436151	3	0	Rainbow & Muddy Rainbow (6 Suits)	2021-02-14 — 00:04:44 UTC	asaelr, padi, ricardodd	3	6	30
436132	3	28	Rainbow & Muddy Rainbow (6 Suits)	2021-02-13 — 23:35:00 UTC	asaelr, padi, ricardodd	4	6	30
436121	3	0	Rainbow & Muddy Rainbow (6 Suits)	2021-02-13 — 23:13:40 UTC	asaelr, padi, ricardodd	6	6	30
431237	3	25	No Variant	2021-02-09 — 18:29:28 UTC	HariKrishnan, macanek, padi	56	5	25
428392	5	30	White (6 Suits)	2021-02-07 — 01:15:36 UTC	Denchulitas, indego, Lanvin, padi, rz	12	6	30
